edat	eciv	nens	tprof	antreb	prod_A	prod_B	prod_C	prod_D	prod_E	nprod	data_B	interes	total	tsense	targeta	sexe	habitat	codi	bons
0.35	1	2	1	0.21	2	1	1	1	1	1	0	3	0.25	0.82	1	1	1	3	2
0.13	2	1	1	0.12	2	1	1	2	1	1	0	3	0.25	0.64	1	2	2	3	2
0.52	1	2	1	0.3	2	1	1	1	1	1	0	3	0.25	0.45	1	1	2	2	1
0.19	1	1	2	0.07	2	2	2	1	1	2	0.24	1	0.04	0.27	1	2	2	1	1
0.27	1	2	2	0.3	2	2	1	1	1	1	0.19	1	0.13	0.64	1	2	1	3	2
0.39	1	2	1	0	1	2	1	1	1	1	0.21	1	0.46	0.27	1	1	2	2	1
0.19	1	2	2	0.12	2	1	1	1	1	1	0	1	0.13	0.45	2	2	2	2	1
0.74	1	1	2	0	2	2	2	1	1	2	0.39	1	0.19	0.64	1	2	1	3	2
0.16	1	2	2	0.16	1	2	1	1	1	1	0.14	1	0.32	1	1	1	3	3	2
0.44	1	2	2	0.05	2	2	1	1	1	1	0.07	3	0.04	0.27	1	2	3	1	1
0.08	2	1	1	0.07	2	2	2	2	2	2	0.11	1	0.29	0.64	2	2	2	3	2
0.18	1	2	2	0.02	2	2	1	1	1	1	0.06	3	0.13	0.45	2	1	2	3	2
0.35	1	1	1	0.49	2	1	1	1	1	1	0	2	0.21	0.64	2	2	3	3	2
0.42	1	2	1	0	2	1	1	2	1	1	0	2	0.38	0.82	2	1	3	3	2
0.19	1	2	2	0.26	2	2	1	1	1	1	0.27	1	0.89	0.45	1	2	2	2	1
0.1	1	2	2	0	2	2	1	1	1	1	0.18	1	0.16	0.64	2	1	3	2	1
0.4	1	2	2	0.33	2	2	1	2	1	2	0.24	1	0.25	0.45	1	2	3	1	1
0.06	2	1	2	0.02	2	2	1	1	1	1	0.06	1	0.12	0.27	1	1	2	1	1
0.15	2	1	1	0.02	2	2	1	2	1	2	0.14	3	0.04	0.18	1	2	1	1	1
0.08	2	1	1	0	2	2	1	1	2	2	0.18	1	0.07	0.45	1	2	2	1	1
0.1	2	1	2	0.12	2	1	1	2	1	1	0	1	0.13	0.27	1	2	3	1	1
0.4	2	2	1	0.05	2	2	1	1	1	1	0.2	1	0.19	0.64	2	2	1	2	1
0.18	1	2	2	0.23	2	2	1	1	1	1	0.12	3	0.32	0.82	1	1	3	2	1
0.21	2	1	2	0.02	2	2	1	2	1	2	0.15	1	0.14	0.27	1	1	2	1	1
0.13	1	1	2	0.07	2	2	2	1	2	2	0.33	1	0.37	0.82	1	1	3	3	2
0.16	2	1	1	0.23	2	1	1	1	1	1	0	1	0.13	0.45	1	2	2	2	1
0.29	1	2	2	0.44	2	2	1	1	1	1	0.22	1	0.25	0.45	1	1	2	1	1
0.42	1	2	2	0.72	2	1	1	1	1	1	0	1	0.49	0.64	1	2	2	2	1
0.1	2	1	3	0	2	2	1	1	1	1	0.12	1	0.32	0.82	2	2	1	2	1
0.24	1	2	1	0.02	2	1	1	1	2	1	0	1	0.35	0.82	1	2	2	2	1
0.1	1	2	2	0	2	2	1	1	1	1	0.18	1	0.16	0.64	2	1	2	2	1
0.16	2	1	2	0.02	2	2	1	1	1	1	0.16	1	0.32	0.45	1	1	3	3	2
0.11	2	1	2	0.02	2	1	1	1	1	1	0	1	0.06	0.09	1	2	3	2	1
0.11	2	1	2	0.07	2	2	1	1	1	1	0.13	1	0.09	0.27	1	1	2	1	1
0.4	1	2	2	0.42	2	2	1	1	1	1	0.29	1	0.13	0.45	1	2	1	1	1
0.15	1	2	1	0.14	2	2	1	1	1	1	0.16	2	0.57	1	2	1	2	2	1
0.4	1	2	2	0.26	2	2	2	1	1	2	0.32	1	0.32	0.82	1	2	2	2	1
0.39	1	2	1	0.51	2	2	1	1	2	2	0.27	1	0.35	0.64	1	1	2	2	1
0.37	1	2	2	0.37	2	2	1	1	1	1	0.16	3	0.1	0.45	1	1	2	1	1
0.23	2	1	1	0.07	2	1	1	1	1	1	0	3	0.16	0.45	1	2	1	2	1
0.08	2	1	2	0.02	2	1	1	1	1	1	0	1	0.22	0.64	2	1	1	2	1
0.37	1	2	1	0.14	2	2	2	1	1	2	0.1	3	0.34	0.45	1	2	1	2	1
0.16	2	1	2	0.02	2	2	1	1	1	1	0.16	1	0.32	0.45	1	2	3	3	2
0.58	1	2	2	0.26	2	2	1	1	1	1	0.15	1	0.01	0.09	1	1	3	1	1
0.11	1	2	2	0.16	2	1	2	1	1	1	0	3	0.25	0.64	2	2	2	2	1
0.06	2	1	2	0.02	2	2	1	1	1	1	0.29	1	0.01	0.09	1	2	3	1	1
0.16	1	2	2	0.02	2	2	1	1	1	1	0.32	1	0.32	0.82	1	2	1	2	1
0.65	1	1	2	0	2	2	1	1	1	1	0.12	3	0.04	0.27	1	2	3	1	1
0.6	1	1	2	0	2	1	1	1	1	1	0	3	0.07	0.45	2	2	3	1	1
0.61	1	2	2	0.51	2	2	2	1	1	2	0.3	3	0.13	0.27	1	2	2	1	1
0.29	1	2	1	0.35	2	2	1	1	1	1	0.24	3	0.01	0.27	1	2	3	1	1
0.15	2	1	1	0.02	2	2	1	1	1	1	0.14	3	0.07	0.09	1	1	2	1	1
0.76	1	1	2	0	2	2	1	1	1	1	0.21	3	0.25	0.82	1	1	2	2	1
0.29	1	2	1	0.02	2	2	1	1	2	2	0.09	1	0.25	0.64	1	2	1	2	1
0.13	2	1	1	0.05	2	2	1	1	1	1	0.12	1	0.24	0.64	2	2	2	3	2
0.32	2	1	2	0.28	2	2	2	2	2	2	0.21	1	0.07	0.27	1	1	1	1	1
0.39	1	2	1	0.42	2	2	1	1	1	1	0.18	2	0.29	0.82	1	1	2	3	2
